v1,v2,v3,v4,v5
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Go to jurong point, crazy..Disponible sólo en bugis n great world la e buffet...Cine había amore wat...",,
ham,Ok lar... Joking wif u oni...,"Entonces, la broma de WIFI...",,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Entrada gratuita en 2 comp para ganar las finales de la FA Cup el 21 de mayo de 2005. Texto FA a 87121 para recibir la pregunta de entrada(taxa de txt estd)T&C aplica 08452810075over18's,,
ham,U dun say so early hor... U c already then say...,U dun dice tan temprano hor... U c ya dice entonces...,,
ham,"Nah I don't think he goes to usf, he lives around here though","Bueno, no creo que vaya a la USF, vive aquí aunque",,
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv","FreeMsg Hey ahí querido ha sido 3 semanas ahora y no hay palabra de vuelta! me gustaría algo divertido para que todavía? Tb ok! XxX std chgs para enviar, 1.50 a rcv",,
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Incluso a mi hermano no le gusta hablar conmigo.Me tratan como una patente de la SIDA.,,
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Como por su solicitud 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido establecido como su callertune para todos los llamados. Presione *9 para copiar a sus amigos Callertune,,
spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,GANADOR!! Como un cliente de red valorado ha sido seleccionado para recibirun premio de 900! Para reclamar llamando 09061701461. Código de reclamo KL341. Valido sólo 12 horas.,,
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,¿Tienes tu móvil 11 meses o más? U R tiene derecho a actualizar a los teléfonos móviles de color más recientes con cámara gratis!Call The Mobile Update Co GRATUITO en 08002986030,,
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Voy a estar en casa pronto y no quiero hablar de estas cosas más esta noche, k? he llorado lo suficiente hoy.",,
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","¡SIX posibilidades de ganar dinero en efectivo! De 100 a 20.000 libras txt> CSH11 y enviar a 87575. Costo 150p/día, 6days, 16+ TsandCs aplicar Responder HL 4 info",,
spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENTE! Usted ha ganado una suscripción GRATUITA de 1 semana en nuestro Jackpot de Premio 100,000! Txt la palabra: CLAIM a No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,He estado buscando las palabras adecuadas para agradecerle por esta respiración. prometo que no tomaré su ayuda por supuesto y cumpliré mi promesa.,,
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,Tengo una cita el domingo con Will!!,,
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje txt o haga clic aquí>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,
ham,Oh k...i'm watching here:),Oh k... estoy viendo aquí :),,
